condition,symptoms,description,treatment,when_to_see_doctor
Diabetes Type 2,Frequent urination; increased thirst; blurred vision; fatigue; slow-healing sores,A chronic condition affecting how the body processes blood sugar (glucose). Occurs when the body doesn't produce enough insulin or doesn't use it effectively.,Healthy diet; regular exercise; blood sugar monitoring; metformin or other medications as prescribed by doctor,Immediately if blood sugar is very high (>300 mg/dL); chest pain; difficulty breathing; confusion
Hypertension,Headaches; shortness of breath; nosebleeds; often no symptoms (silent killer),High blood pressure — a reading consistently above 130/80 mmHg. Increases risk of heart disease and stroke.,Reduce salt intake; exercise regularly; limit alcohol; stop smoking; antihypertensive medications if prescribed,If BP reading is above 180/120 mmHg (hypertensive crisis); severe chest pain; sudden vision changes
Common Cold,Runny nose; sore throat; cough; sneezing; mild fever; body aches,Viral infection of the upper respiratory tract. Usually caused by rhinovirus. Contagious for first 2-3 days.,Rest; stay hydrated; over-the-counter decongestants and pain relievers; honey for cough,If fever exceeds 103°F (39.4°C); symptoms last more than 10 days; difficulty breathing; severe headache
Migraine,Intense throbbing headache (usually one side); nausea; vomiting; sensitivity to light and sound; aura (visual disturbances),Neurological condition causing severe headaches. Triggers include stress; hormonal changes; certain foods; lack of sleep.,Rest in dark quiet room; pain relievers (ibuprofen/acetaminophen); triptans if prescribed; stay hydrated,First severe headache in life; headache with fever + stiff neck; sudden worst headache; headache after head injury
Anemia,Fatigue; weakness; pale skin; shortness of breath; dizziness; cold hands and feet; irregular heartbeat,Condition where blood lacks enough healthy red blood cells or hemoglobin to carry adequate oxygen.,Iron-rich foods (spinach; red meat; lentils); iron supplements; vitamin C to boost absorption; treat underlying cause,Extreme fatigue; rapid or irregular heartbeat; shortness of breath at rest; chest pain
Asthma,Wheezing; shortness of breath; chest tightness; coughing (especially at night),Chronic condition causing airway inflammation and narrowing making breathing difficult. Triggered by allergens; exercise; cold air.,Avoid triggers; use prescribed inhalers (bronchodilators/corticosteroids); action plan from doctor; monitor peak flow,Severe shortness of breath; blue lips or fingernails; no improvement after using rescue inhaler; difficulty speaking
Gastroenteritis,Nausea; vomiting; diarrhea; stomach cramps; mild fever; headache,Inflammation of stomach and intestines usually from viral or bacterial infection. Also called stomach flu.,Rest; stay hydrated (oral rehydration salts); bland diet (BRAT: bananas/rice/applesauce/toast); avoid dairy,Signs of dehydration (no urination; sunken eyes; dry mouth); blood in stool; fever above 104°F; symptoms >3 days
Urinary Tract Infection,Burning sensation when urinating; frequent urge to urinate; cloudy or strong-smelling urine; pelvic pain,Bacterial infection in urinary system — most commonly in bladder. More common in women.,Drink plenty of water; antibiotics as prescribed; cranberry juice (preventive only); urinate after intercourse,If symptoms don't improve in 2-3 days on antibiotics; fever and chills (kidney infection); blood in urine
Depression,Persistent sadness; loss of interest; fatigue; sleep changes; appetite changes; difficulty concentrating; feelings of worthlessness,Mental health disorder causing persistent feelings of sadness and loss of interest. Affects daily functioning.,Therapy (CBT); antidepressants if prescribed; regular exercise; social support; mindfulness,Thoughts of self-harm or suicide (call emergency immediately); inability to perform daily activities; psychotic symptoms
Arthritis,Joint pain; stiffness; swelling; decreased range of motion; redness around joints,Inflammation of one or more joints. Osteoarthritis (wear and tear) and Rheumatoid arthritis (autoimmune) are most common.,Low-impact exercise; weight management; pain relievers (NSAIDs); physical therapy; joint protection techniques,Sudden severe joint pain; joint is hot and swollen (possible infection); significant loss of joint function
